2026-07-15 03:21:56 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.18'}
2026-07-15 03:21:59 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.18'}
2026-07-15 03:22:01 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.18'}
2026-07-15 03:22:06 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.18'}
2026-07-15 03:22:11 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.18'}
2026-07-15 03:22:14 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:22:16 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:22:21 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:22:26 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:22:29 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:22:31 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:22:36 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:22:41 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:22:45 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:22:46 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.13'}
2026-07-15 03:22:51 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.13'}
2026-07-15 03:22:56 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.13'}
2026-07-15 03:23:00 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.13'}
2026-07-15 03:23:01 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.13'}
2026-07-15 03:23:06 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.10'}
2026-07-15 03:23:11 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.10'}
2026-07-15 03:23:15 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.10'}
2026-07-15 03:23:16 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.10'}
2026-07-15 03:23:21 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.10'}
2026-07-15 03:23:26 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.10'}
2026-07-15 03:23:30 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.11'}
2026-07-15 03:23:31 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.11'}
2026-07-15 03:23:36 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.11'}
2026-07-15 03:23:41 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.11'}
2026-07-15 03:23:45 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.11'}
2026-07-15 03:23:46 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.11'}
2026-07-15 03:23:51 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.11'}
2026-07-15 03:23:56 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.11'}
2026-07-15 03:24:01 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.10'}
2026-07-15 03:24:01 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.10'}
2026-07-15 03:24:06 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.10'}
2026-07-15 03:24:36 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.13'}
2026-07-15 03:24:56 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:24:56 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:01 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:07 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:12 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:12 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:17 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:22 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:27 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:27 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:32 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:37 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:42 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:42 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:47 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:52 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:57 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:25:57 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:26:02 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.14'}
2026-07-15 03:26:18 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:26:18 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:26:23 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:26:28 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:26:29 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 3, 'new': 0}
2026-07-15 03:26:33 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:26:33 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:26:38 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:26:43 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:26:48 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:26:48 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:26:53 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:26:58 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
2026-07-15 03:27:03 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'EVAAUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.15'}
