2026-07-18 06:30:03 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:30:18 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:30:33 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:30:49 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:31:04 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:31:19 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:31:25 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'DODOXUSDT', 'level': 0.022093, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.42}
2026-07-18 06:31:26 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'DODOXUSDT', 'level': 0.021884, 'strength': 5}
2026-07-18 06:31:26 | INFO | trading.strategy2_signal_filter:check:641 | S2 market phase | {'symbol': 'DODOXUSDT', 'phase': 'flat', 'note': 'flat:range=3.1%,dir_eff=0.00'}
2026-07-18 06:31:26 | INFO | trading.strategy2_signal_filter:check:856 | S2: SL adjusted to minimum distance | {'symbol': 'DODOXUSDT', 'min_dist_pct': 0.25, 'stop_loss': 0.02182937}
2026-07-18 06:31:26 | INFO | trading.strategy2_signal_filter:check:948 | S2 signal passed all filters | {'symbol': 'DODOXUSDT', 'level': 0.021884, 'level_type': 'pump_base', 'strength': 5, 'p_bounce': 0.948, 'sl': 0.02182937, 'tp1': 0.02192341, 'tp2': 0.02222543, 'rr': 0.72, 'phase': 'flat', 'pos_struct_pct': 43.3, 'pos_local_pct': -2.7, 'struct_range': [0.019928, 0.024449], 'approach_speed_pct': 0.43, 'red_candles_streak': 0, 'phase_streak_checks': 1, 'phase_streak_seconds': 0.0, 'bleed_in_last_12': 0, 'seconds_since_bleed': None, 'phase_seq': 'dddddddddddf', 'hours_since_pump_peak': 15.3, 'vol_decay': 0.12, 'natr_now_pct': 0.98}
2026-07-18 06:31:26 | ERROR | trading.strategy2_live:_open_grid:581 | S2Live: failed to get instrument info | {'symbol': 'DODOXUSDT', 'error': 'instrument info not found for DODOXUSDT'}
2026-07-18 06:31:29 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'DODOXUSDT', 'level': 0.021884, 'distance_pct': 1.3789995493465557}
2026-07-18 06:31:34 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:31:49 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:32:05 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:32:20 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:32:35 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:32:50 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:33:05 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:33:21 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:33:36 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:33:51 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:34:06 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': '1000XECUSDT', 'level': 0.007981, 'approach_count': 5, 'block_threshold': 4}
2026-07-18 06:34:09 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 3, 'new': 0}
