2026-07-17 06:56:00 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'DODOXUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:00 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'USUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:05 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'DODOXUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:05 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'USUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:10 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'DODOXUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:10 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'USUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:15 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'DODOXUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:15 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'USUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:20 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'DODOXUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:20 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'USUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:25 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'DODOXUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:25 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'USUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:30 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'DODOXUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:30 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'USUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
2026-07-17 06:56:35 | DEBUG | trading.strategy5_continuation:_scan_symbol:343 | S5 skip: blocked phase | {'symbol': 'DODOXUSDT', 'phase': 'drop_tradeable', 'reason': 'bleed/drop_tradeable → wr<0.35 на живых данных'}
